,4,10
353,convolution,mb1_ic384oc256_ih13oh13kh3sh1dh0ph1_iw13ow13kw3sw1dw0pw1
354,reorder,1x256x13x13
355,convolution,mb1_ic256oc256_ih13oh13kh3sh1dh0ph1_iw13ow13kw3sw1dw0pw1
356,reorder,96x3x7x7
357,convolution,mb1_ic3oc96_ih224oh109kh7sh2dh0ph0_iw224ow109kw7sw2dw0pw0
358,reorder,1x96x109x109
359,reorder,1x96x54x54
360,reorder,16x96x1x1
361,convolution,mb1_ic96oc16_ih54oh54kh1sh1dh0ph0_iw54ow54kw1sw1dw0pw0
362,reorder,1x16x54x54
363,reorder,64x16x1x1
364,convolution,mb1_ic16oc64_ih54oh54kh1sh1dh0ph0_iw54ow54kw1sw1dw0pw0
365,reorder,64x16x3x3
366,convolution,mb1_ic16oc64_ih54oh54kh3sh1dh0ph1_iw54ow54kw3sw1dw0pw1
367,reorder,1x128x54x54
368,reorder,16x128x1x1
369,convolution,mb1_ic128oc16_ih54oh54kh1sh1dh0ph0_iw54ow54kw1sw1dw0pw0
370,reorder,32x128x1x1
371,convolution,mb1_ic128oc32_ih54oh54kh1sh1dh0ph0_iw54ow54kw1sw1dw0pw0
372,reorder,1x32x54x54
373,reorder,128x32x1x1
374,convolution,mb1_ic32oc128_ih54oh54kh1sh1dh0ph0_iw54ow54kw1sw1dw0pw0
375,reorder,128x32x3x3
376,convolution,mb1_ic32oc128_ih54oh54kh3sh1dh0ph1_iw54ow54kw3sw1dw0pw1
377,reorder,1x256x27x27
378,reorder,32x256x1x1
379,convolution,mb1_ic256oc32_ih27oh27kh1sh1dh0ph0_iw27ow27kw1sw1dw0pw0
380,reorder,1x32x27x27
381,convolution,mb1_ic32oc128_ih27oh27kh1sh1dh0ph0_iw27ow27kw1sw1dw0pw0
382,reorder,1x128x27x27
383,convolution,mb1_ic32oc128_ih27oh27kh3sh1dh0ph1_iw27ow27kw3sw1dw0pw1
384,convolution,mb1_ic256oc48_ih27oh27kh1sh1dh0ph0_iw27ow27kw1sw1dw0pw0
385,reorder,1x48x27x27
386,reorder,192x48x1x1
387,convolution,mb1_ic48oc192_ih27oh27kh1sh1dh0ph0_iw27ow27kw1sw1dw0pw0
388,reorder,192x48x3x3
389,convolution,mb1_ic48oc192_ih27oh27kh3sh1dh0ph1_iw27ow27kw3sw1dw0pw1
390,reorder,1x384x27x27
391,reorder,48x384x1x1
392,convolution,mb1_ic384oc48_ih27oh27kh1sh1dh0ph0_iw27ow27kw1sw1dw0pw0
393,convolution,mb1_ic384oc64_ih27oh27kh1sh1dh0ph0_iw27ow27kw1sw1dw0pw0
394,reorder,256x64x1x1
395,convolution,mb1_ic64oc256_ih27oh27kh1sh1dh0ph0_iw27ow27kw1sw1dw0pw0
396,reorder,256x64x3x3
397,convolution,mb1_ic64oc256_ih27oh27kh3sh1dh0ph1_iw27ow27kw3sw1dw0pw1
398,reorder,1x512x13x13
399,reorder,64x512x1x1
400,convolution,mb1_ic512oc64_ih13oh13kh1sh1dh0ph0_iw13ow13kw1sw1dw0pw0
401,reorder,1x64x13x13
402,reorder,1000x512x1x1
403,convolution,mb1_ic512oc1000_ih13oh13kh1sh1dh0ph0_iw13ow13kw1sw1dw0pw0
404,reorder,1x1000x13x13
405,reorder,64x3x3x3
406,convolution,mb1_ic3oc64_ih224oh224kh3sh1dh0ph1_iw224ow224kw3sw1dw0pw1
407,reorder,1x64x224x224
408,convolution,mb1_ic64oc64_ih224oh224kh3sh1dh0ph1_iw224ow224kw3sw1dw0pw1
409,convolution,mb1_ic64oc128_ih112oh112kh3sh1dh0ph1_iw112ow112kw3sw1dw0pw1
410,reorder,1x128x112x112
411,convolution,mb1_ic128oc128_ih112oh112kh3sh1dh0ph1_iw112ow112kw3sw1dw0pw1
412,convolution,mb1_ic128oc256_ih56oh56kh3sh1dh0ph1_iw56ow56kw3sw1dw0pw1
413,convolution,mb1_ic256oc256_ih56oh56kh3sh1dh0ph1_iw56ow56kw3sw1dw0pw1
414,convolution,mb1_ic256oc512_ih28oh28kh3sh1dh0ph1_iw28ow28kw3sw1dw0pw1
415,convolution,mb1_ic512oc512_ih28oh28kh3sh1dh0ph1_iw28ow28kw3sw1dw0pw1
416,convolution,mb1_ic512oc512_ih14oh14kh3sh1dh0ph1_iw14ow14kw3sw1dw0pw1
